,movie_id,movie_title,release_date,unknown,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,overview
0,1,Toy Story (1995),1995-01-01,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
1,2,GoldenEye (1995),1995-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it."
2,3,Four Rooms (1995),1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Four interlocking tales that take place in a fading hotel on New Year's Eve.
3,4,Get Shorty (1995),1995-01-01,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
4,5,Copycat (1995),1995-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
6,7,Twelve Monkeys (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
7,8,Babe (1995),1995-01-01,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
8,9,Dead Man Walking (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
9,10,Richard III (1995),1996-01-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
10,11,Seven (Se7en) (1995),1995-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
11,12,"Usual Suspects, The (1995)",1995-08-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
12,13,Mighty Aphrodite (1995),1995-10-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
13,14,"Postino, Il (1994)",1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
14,15,Mr. Holland's Opus (1995),1996-01-29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A frustrated composer finds fulfillment as a high school music teacher.
